package	version	architecture	installed_size_kib	match
mount	2.41-5	arm64	656	exact
nano	8.4-1	arm64	2867	exact
ncdu	1.22-1	arm64	155	exact
ncurses-base	6.5+20250216-2	all	389	exact
ncurses-bin	6.5+20250216-2	arm64	917	exact
ncurses-term	6.5+20250216-2	all	4372	exact
net-tools	2.10-1.3	arm64	1371	exact
netbase	6.5	all	35	exact
netcat-openbsd	1.229-1	arm64	133	exact
netplan-generator	1.1.2-7+rpt1	arm64	332	exact
netplan.io	1.1.2-7+rpt1	arm64	372	exact
network-manager	1.52.1-1+rpt4	arm64	8584	exact
network-manager-l10n	1.52.1-1+rpt4	all	8525	exact
nftables	1.1.3-1	arm64	225	exact
ntfs-3g	1:2022.10.3-5	arm64	2106	exact
openssh-client	1:10.0p1-7	arm64	5385	exact
openssh-server	1:10.0p1-7	arm64	3424	exact
openssh-sftp-server	1:10.0p1-7	arm64	209	exact
openssl	3.5.4-1~deb13u1+rpt1	arm64	2541	exact
openssl-provider-legacy	3.5.4-1~deb13u1+rpt1	arm64	407	exact
p7zip-full	16.02+transitional.1	all	12	exact
pahole	1.30-1	arm64	1977	exact
parted	3.6-5	arm64	218	exact
passwd	1:4.17.4-2	arm64	5317	exact
pastebinit	1.7.1-1+~rpt2	all	333	exact
patch	2.8-2	arm64	270	exact
pci.ids	0.0~2025.06.09-1	all	1509	exact
pciutils	1:3.13.0-2	arm64	350	exact
perl	5.40.1-6	arm64	841	exact
perl-base	5.40.1-6	arm64	8006	exact
perl-modules-5.40	5.40.1-6	all	19988	exact
pinentry-curses	1.3.1-2	arm64	206	exact
pkg-config:arm64	1.8.1-4	arm64	29	exact
pkgconf:arm64	1.8.1-4	arm64	65	exact
pkgconf-bin	1.8.1-4	arm64	106	exact
polkitd	126-2	arm64	701	exact
ppp	2.5.2-1+1	arm64	1689	exact
procps	2:4.0.4-9	arm64	2975	exact
psmisc	23.7-2	arm64	1198	exact
publicsuffix	20250328.1952-0.1	all	570	exact
python-apt-common	3.0.0	all	532	exact
python-babel-localedata	2.17.0-1	all	30133	exact
python-is-python3	3.13.3-1	all	16	exact
python3	3.13.5-1	arm64	83	exact
